Rank,Model,Model Type,Open Weights,Instruction Tuned,ST Compatible,Modalities,License,Release Date,Memory (MB),Zero-shot,Active Params (B),Total Params (B),Embedding Dim,Max Tokens,Openness Score,Openness: Open weights,Openness: Open license,Openness: Training code,Openness: Training data,Openness: Paper,Openness: Model card,Mean (Task),Mean (TaskType),BitextMining,Classification,Clustering,InstructionReranking,MultilabelClassification,PairClassification,Reranking,Retrieval,STS
1,Qwen/Qwen3-Embedding-4B,dense,true,true,true,text,apache-2.0,2025-06-05,7671,99,3.634,4.022,2560,32768,4,true,true,false,false,true,true,69.45,60.86,79.36,72.33,57.15,11.56,26.77,85.05,65.08,69.60,80.86
2,microsoft/harrier-oss-v1-0.6b,dense,true,true,true,text,mit,2026-03-27,1137,78,0.44,0.596,1024,32768,3,true,true,false,false,false,true,69.01,59.00,82.85,73.88,54.00,0.81,26.37,82.07,63.16,70.75,77.09
3,codefuse-ai/F2LLM-v2-4B,dense,true,true,true,text,apache-2.0,2026-03-09,15344,88,3.634,4.022,2560,40960,6,true,true,true,true,true,true,67.06,58.25,74.49,70.73,59.53,2.25,26.58,80.51,69.38,64.84,75.91
4,jinaai/jina-embeddings-v5-omni-small,dense,true,true,true,video; audio; image; text,cc-by-nc-4.0,2026-04-01,3102,NA,1.471,1.626,1024,32768,3,true,false,false,false,true,true,67.00,58.90,69.71,71.32,53.41,1.35,41.97,82.93,65.66,64.88,78.85
5,jinaai/jina-embeddings-v5-text-small,dense,true,true,true,text,cc-by-nc-4.0,2026-02-17,1137,NA,0.44,0.596,1024,32768,3,true,false,false,false,true,true,67.00,58.90,69.71,71.32,53.41,1.35,41.97,82.93,65.66,64.88,78.85
6,codefuse-ai/F2LLM-v2-1.7B,dense,true,true,true,text,apache-2.0,2026-03-09,6563,88,1.41,1.721,2048,40960,6,true,true,true,true,true,true,65.21,56.78,73.18,67.68,58.77,0.56,26.04,79.87,67.17,61.97,75.77
7,BidirLM/BidirLM-Omni-2.5B-Embedding,dense,true,true,true,video; audio; image; text,apache-2.0,2026-04-07,4663,99,2.13,2.445,2048,32768,5,true,true,false,true,true,true,63.50,55.48,72.29,65.90,51.50,0.97,26.54,80.65,64.72,61.04,75.73
8,microsoft/harrier-oss-v1-270m,dense,true,true,true,text,mit,2026-03-27,512,78,0.1,0.268,640,32768,3,true,true,false,false,false,true,66.55,56.90,81.54,70.84,52.51,-0.47,23.97,80.12,61.90,66.38,75.35
9,Qwen/Qwen3-Embedding-0.6B,dense,true,true,true,text,apache-2.0,2025-06-05,1136,99,0.44,0.596,1024,32768,4,true,true,false,false,true,true,64.34,56.01,72.23,66.83,52.33,5.09,24.58,80.83,61.41,64.65,76.17
10,jinaai/jina-embeddings-v5-omni-nano,dense,true,true,true,video; audio; image; text,cc-by-nc-4.0,2026-04-01,1881,NA,0.887,0.986,768,8192,3,true,false,false,false,true,true,65.52,57.66,67.70,69.18,52.73,0.05,41.31,81.94,64.63,63.26,78.17
