Rank,Models,Size(B),Date,Overall,Overall-V3🆕,Text-Overall,Audio-Overall,Agent-Overall
🏆,"<a href=""https://huggingface.co/TianmuLab/Tianmu-Emb-Uni/tree/main"">Tianmu-Emb-Uni</a>",8.0,26-08-06,52.83,40.5,41.77,38.94,39.42
🥈,"<a href=""https://github.com/wl122593/Ovis-Omni-Embedding"">Ovis-Omni-Embedding-v0.1-3B</a>",3.0,26-08-03,52.55,39.9,41.81,47.82,35.9
🥉,"<a href=""https://huggingface.co/Alibaba-NLP/UEmbed-9B"">UEmbed-9B (hybrid)</a>",9.0,26-08-13,51.54,37.27,43.08,0.0,39.46
4,"<a href=""https://huggingface.co/Alibaba-NLP/UEmbed-9B"">UEmbed-9B (dense)</a>",9.0,26-08-12,51.5,37.25,43.09,0.0,39.39
5,"<a href=""https://huggingface.co/Alibaba-NLP/UEmbed-9B"">UEmbed-9B (sparse)</a>",9.0,26-08-12,50.95,36.83,42.23,0.0,39.36
6,"<a href=""https://huggingface.co/Alibaba-NLP/UEmbed-4B"">UEmbed-4B (dense)</a>",4.0,26-08-12,50.1,35.86,42.0,0.0,37.33
7,"<a href=""https://huggingface.co/Alibaba-NLP/UEmbed-4B"">UEmbed-4B (sparse)</a>",4.0,26-08-12,49.98,36.12,41.92,0.0,38.04
8,"<a href=""https://huggingface.co/Alibaba-NLP/UEmbed-2B"">UEmbed-2B (dense)</a>",2.0,26-08-12,47.82,34.71,40.46,0.0,36.34
9,"<a href=""https://huggingface.co/Alibaba-NLP/UEmbed-2B"">UEmbed-2B (sparse)</a>",2.0,26-08-12,46.93,33.85,39.4,0.0,35.52
10,"<a href=""https://huggingface.co/Haon-Chen/e5-omni-7B"">e5-omni-7B</a>",7.0,26-07-20,46.53,31.56,24.65,43.04,36.67
11,"<a href=""https://huggingface.co/Haon-Chen/e5-omni-3B"">e5-omni-3B</a>",3.0,26-07-23,44.03,30.29,24.38,30.76,36.85
